event_row_id,parent_event_id,hierarchy_level,asset_id,asset_name,parent_asset_id,plant_id,hub_id,block_id,event_type,root_cause,severity,start_time,end_time,forecast_start_time,actual_start_time,capacity_mw,max_loss_mw,possible_power_before_mw,actual_power_during_mw,event_probability_pct,detection_status,visual_status,tooltip,operator_summary,recommended_action,drilldown_key
EVH_00002_SOL_PAVAGADA,EVH_00002,plant,SOL_PAVAGADA,Pavagada Solar Park,GRID_PAVAGADA_220KV,SOL_PAVAGADA,PAV_HUB_6,,cloud_ramp_down,weather,WATCH,2015-03-09T14:55:00,2015-03-09T16:35:00,2015-03-09T14:35:00,2015-03-09T15:05:00,2050,45.7,1517.0,1471.3,86,DETECTED,WATCH,SOL_PAVAGADA: cloud_ramp_down | loss 45.7 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,SOL_PAVAGADA
EVH_00002_GRID_PAVAGADA_220KV,EVH_00002,grid,GRID_PAVAGADA_220KV,Pavagada 220kV Pooling Station,,SOL_PAVAGADA,PAV_HUB_6,,cloud_ramp_down,weather,WATCH,2015-03-09T14:55:00,2015-03-09T16:35:00,2015-03-09T14:35:00,2015-03-09T15:05:00,2050,44.79,1517.0,1472.21,86,DETECTED,WATCH,GRID_PAVAGADA_220KV: cloud_ramp_down | loss 44.8 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,GRID_PAVAGADA_220KV
EVH_00003_PAV_S6_B01,EVH_00003,block,PAV_S6_B01,Hub 6 Block 1,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B01,grid_curtailment_plateau,grid_constraint,ALERT,2015-05-14T12:45:00,2015-05-14T16:45:00,2015-05-14T12:30:00,2015-05-14T12:45:00,50,18.48,39.0,20.52,93,DETECTED,ALERT,PAV_S6_B01: grid_curtailment_plateau | loss 18.5 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_S6_B01
EVH_00003_PAV_S6_B02,EVH_00003,block,PAV_S6_B02,Hub 6 Block 2,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B02,grid_curtailment_plateau,grid_constraint,ALERT,2015-05-14T12:45:00,2015-05-14T16:45:00,2015-05-14T12:30:00,2015-05-14T12:45:00,50,15.84,39.0,23.16,93,DETECTED,ALERT,PAV_S6_B02: grid_curtailment_plateau | loss 15.8 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_S6_B02
EVH_00003_PAV_S6_B03,EVH_00003,block,PAV_S6_B03,Hub 6 Block 3,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B03,grid_curtailment_plateau,grid_constraint,ALERT,2015-05-14T12:45:00,2015-05-14T16:45:00,2015-05-14T12:30:00,2015-05-14T12:45:00,50,16.98,39.0,22.02,93,DETECTED,ALERT,PAV_S6_B03: grid_curtailment_plateau | loss 17.0 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_S6_B03
EVH_00003_PAV_S6_B04,EVH_00003,block,PAV_S6_B04,Hub 6 Block 4,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B04,grid_curtailment_plateau,grid_constraint,ALERT,2015-05-14T12:45:00,2015-05-14T16:45:00,2015-05-14T12:30:00,2015-05-14T12:45:00,50,17.23,39.0,21.77,93,DETECTED,ALERT,PAV_S6_B04: grid_curtailment_plateau | loss 17.2 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_S6_B04
EVH_00003_PAV_HUB_6,EVH_00003,hub,PAV_HUB_6,Hub / Segment 6,SOL_PAVAGADA,SOL_PAVAGADA,PAV_HUB_6,,grid_curtailment_plateau,grid_constraint,ALERT,2015-05-14T12:45:00,2015-05-14T16:45:00,2015-05-14T12:30:00,2015-05-14T12:45:00,250,77.64,195.0,117.36,93,DETECTED,ALERT,PAV_HUB_6: grid_curtailment_plateau | loss 77.6 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_HUB_6
EVH_00003_SOL_PAVAGADA,EVH_00003,plant,SOL_PAVAGADA,Pavagada Solar Park,GRID_PAVAGADA_220KV,SOL_PAVAGADA,PAV_HUB_6,,grid_curtailment_plateau,grid_constraint,ALERT,2015-05-14T12:45:00,2015-05-14T16:45:00,2015-05-14T12:30:00,2015-05-14T12:45:00,2050,97.7,1517.0,1419.3,93,DETECTED,ALERT,SOL_PAVAGADA: grid_curtailment_plateau | loss 97.7 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,SOL_PAVAGADA
EVH_00003_GRID_PAVAGADA_220KV,EVH_00003,grid,GRID_PAVAGADA_220KV,Pavagada 220kV Pooling Station,,SOL_PAVAGADA,PAV_HUB_6,,grid_curtailment_plateau,grid_constraint,ALERT,2015-05-14T12:45:00,2015-05-14T16:45:00,2015-05-14T12:30:00,2015-05-14T12:45:00,2050,95.75,1517.0,1421.25,93,DETECTED,ALERT,GRID_PAVAGADA_220KV: grid_curtailment_plateau | loss 95.7 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,GRID_PAVAGADA_220KV
EVH_00004_PAV_S2_B01,EVH_00004,block,PAV_S2_B01,Hub 2 Block 1,PAV_HUB_2,SOL_PAVAGADA,PAV_HUB_2,PAV_S2_B01,scada_stale_signal,data_quality,ALERT,2015-08-18T15:00:00,2015-08-18T16:25:00,2015-08-18T14:55:00,2015-08-18T15:00:00,50,0.0,39.0,39.0,78,DETECTED,ALERT,PAV_S2_B01: scada_stale_signal | loss 0.0 MW | data_quality,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.,PAV_S2_B01
EVH_00004_PAV_HUB_2,EVH_00004,hub,PAV_HUB_2,Hub / Segment 2,SOL_PAVAGADA,SOL_PAVAGADA,PAV_HUB_2,,scada_stale_signal,data_quality,ALERT,2015-08-18T15:00:00,2015-08-18T16:25:00,2015-08-18T14:55:00,2015-08-18T15:00:00,250,0.0,195.0,195.0,78,DETECTED,ALERT,PAV_HUB_2: scada_stale_signal | loss 0.0 MW | data_quality,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.,PAV_HUB_2
EVH_00004_SOL_PAVAGADA,EVH_00004,plant,SOL_PAVAGADA,Pavagada Solar Park,GRID_PAVAGADA_220KV,SOL_PAVAGADA,PAV_HUB_2,,scada_stale_signal,data_quality,ALERT,2015-08-18T15:00:00,2015-08-18T16:25:00,2015-08-18T14:55:00,2015-08-18T15:00:00,2050,0.0,1517.0,1517.0,78,DETECTED,ALERT,SOL_PAVAGADA: scada_stale_signal | loss 0.0 MW | data_quality,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.,SOL_PAVAGADA
EVH_00004_GRID_PAVAGADA_220KV,EVH_00004,grid,GRID_PAVAGADA_220KV,Pavagada 220kV Pooling Station,,SOL_PAVAGADA,PAV_HUB_2,,scada_stale_signal,data_quality,ALERT,2015-08-18T15:00:00,2015-08-18T16:25:00,2015-08-18T14:55:00,2015-08-18T15:00:00,2050,0.0,1517.0,1517.0,78,DETECTED,ALERT,GRID_PAVAGADA_220KV: scada_stale_signal | loss 0.0 MW | data_quality,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.,GRID_PAVAGADA_220KV
EVH_00005_PAV_S4_B05,EVH_00005,block,PAV_S4_B05,Hub 4 Block 5,PAV_HUB_4,SOL_PAVAGADA,PAV_HUB_4,PAV_S4_B05,inverter_group_derating,equipment,WATCH,2015-10-22T10:30:00,2015-10-22T14:30:00,2015-10-22T10:25:00,2015-10-22T10:30:00,50,7.52,39.0,31.48,81,DETECTED,WATCH,PAV_S4_B05: inverter_group_derating | loss 7.5 MW | equipment,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.,PAV_S4_B05
EVH_00005_PAV_HUB_4,EVH_00005,hub,PAV_HUB_4,Hub / Segment 4,SOL_PAVAGADA,SOL_PAVAGADA,PAV_HUB_4,,inverter_group_derating,equipment,WATCH,2015-10-22T10:30:00,2015-10-22T14:30:00,2015-10-22T10:25:00,2015-10-22T10:30:00,250,8.88,195.0,186.12,81,DETECTED,WATCH,PAV_HUB_4: inverter_group_derating | loss 8.9 MW | equipment,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.,PAV_HUB_4
EVH_00005_SOL_PAVAGADA,EVH_00005,plant,SOL_PAVAGADA,Pavagada Solar Park,GRID_PAVAGADA_220KV,SOL_PAVAGADA,PAV_HUB_4,,inverter_group_derating,equipment,WATCH,2015-10-22T10:30:00,2015-10-22T14:30:00,2015-10-22T10:25:00,2015-10-22T10:30:00,2050,12.11,1517.0,1504.89,81,DETECTED,WATCH,SOL_PAVAGADA: inverter_group_derating | loss 12.1 MW | equipment,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.,SOL_PAVAGADA
EVH_00005_GRID_PAVAGADA_220KV,EVH_00005,grid,GRID_PAVAGADA_220KV,Pavagada 220kV Pooling Station,,SOL_PAVAGADA,PAV_HUB_4,,inverter_group_derating,equipment,WATCH,2015-10-22T10:30:00,2015-10-22T14:30:00,2015-10-22T10:25:00,2015-10-22T10:30:00,2050,11.87,1517.0,1505.13,81,DETECTED,WATCH,GRID_PAVAGADA_220KV: inverter_group_derating | loss 11.9 MW | equipment,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.,GRID_PAVAGADA_220KV
EVH_00006_PAV_S3_B02,EVH_00006,block,PAV_S3_B02,Hub 3 Block 2,PAV_HUB_3,SOL_PAVAGADA,PAV_HUB_3,PAV_S3_B02,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2016-01-05T15:20:00,2016-01-05T17:10:00,2016-01-05T15:00:00,2016-01-05T15:35:00,50,10.92,39.0,28.08,86,DETECTED,WATCH,PAV_S3_B02: cloud_ramp_up_after_cloud_clearance | loss 10.9 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,PAV_S3_B02
EVH_00006_PAV_S3_B03,EVH_00006,block,PAV_S3_B03,Hub 3 Block 3,PAV_HUB_3,SOL_PAVAGADA,PAV_HUB_3,PAV_S3_B03,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2016-01-05T15:20:00,2016-01-05T17:10:00,2016-01-05T15:00:00,2016-01-05T15:35:00,50,11.66,39.0,27.34,86,DETECTED,WATCH,PAV_S3_B03: cloud_ramp_up_after_cloud_clearance | loss 11.7 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,PAV_S3_B03
EVH_00006_PAV_S3_B04,EVH_00006,block,PAV_S3_B04,Hub 3 Block 4,PAV_HUB_3,SOL_PAVAGADA,PAV_HUB_3,PAV_S3_B04,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2016-01-05T15:20:00,2016-01-05T17:10:00,2016-01-05T15:00:00,2016-01-05T15:35:00,50,11.85,39.0,27.15,86,DETECTED,WATCH,PAV_S3_B04: cloud_ramp_up_after_cloud_clearance | loss 11.8 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,PAV_S3_B04
EVH_00006_PAV_HUB_3,EVH_00006,hub,PAV_HUB_3,Hub / Segment 3,SOL_PAVAGADA,SOL_PAVAGADA,PAV_HUB_3,,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2016-01-05T15:20:00,2016-01-05T17:10:00,2016-01-05T15:00:00,2016-01-05T15:35:00,250,41.06,195.0,153.94,86,DETECTED,WATCH,PAV_HUB_3: cloud_ramp_up_after_cloud_clearance | loss 41.1 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,PAV_HUB_3
EVH_00006_SOL_PAVAGADA,EVH_00006,plant,SOL_PAVAGADA,Pavagada Solar Park,GRID_PAVAGADA_220KV,SOL_PAVAGADA,PAV_HUB_3,,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2016-01-05T15:20:00,2016-01-05T17:10:00,2016-01-05T15:00:00,2016-01-05T15:35:00,2050,49.57,1517.0,1467.43,86,DETECTED,WATCH,SOL_PAVAGADA: cloud_ramp_up_after_cloud_clearance | loss 49.6 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,SOL_PAVAGADA
EVH_00006_GRID_PAVAGADA_220KV,EVH_00006,grid,GRID_PAVAGADA_220KV,Pavagada 220kV Pooling Station,,SOL_PAVAGADA,PAV_HUB_3,,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2016-01-05T15:20:00,2016-01-05T17:10:00,2016-01-05T15:00:00,2016-01-05T15:35:00,2050,48.58,1517.0,1468.42,86,DETECTED,WATCH,GRID_PAVAGADA_220KV: cloud_ramp_up_after_cloud_clearance | loss 48.6 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,GRID_PAVAGADA_220KV
EVH_00007_PAV_S6_B01,EVH_00007,block,PAV_S6_B01,Hub 6 Block 1,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B01,cloud_ramp_down,weather,WATCH,2016-03-09T14:55:00,2016-03-09T16:35:00,2016-03-09T14:35:00,2016-03-09T15:05:00,50,11.32,39.0,27.68,86,DETECTED,WATCH,PAV_S6_B01: cloud_ramp_down | loss 11.3 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,PAV_S6_B01
EVH_00007_PAV_S6_B02,EVH_00007,block,PAV_S6_B02,Hub 6 Block 2,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B02,cloud_ramp_down,weather,WATCH,2016-03-09T14:55:00,2016-03-09T16:35:00,2016-03-09T14:35:00,2016-03-09T15:05:00,50,12.73,39.0,26.27,86,DETECTED,WATCH,PAV_S6_B02: cloud_ramp_down | loss 12.7 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,PAV_S6_B02
EVH_00007_PAV_S6_B03,EVH_00007,block,PAV_S6_B03,Hub 6 Block 3,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B03,cloud_ramp_down,weather,WATCH,2016-03-09T14:55:00,2016-03-09T16:35:00,2016-03-09T14:35:00,2016-03-09T15:05:00,50,11.45,39.0,27.55,86,DETECTED,WATCH,PAV_S6_B03: cloud_ramp_down | loss 11.4 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,PAV_S6_B03
EVH_00007_PAV_HUB_6,EVH_00007,hub,PAV_HUB_6,Hub / Segment 6,SOL_PAVAGADA,SOL_PAVAGADA,PAV_HUB_6,,cloud_ramp_down,weather,WATCH,2016-03-09T14:55:00,2016-03-09T16:35:00,2016-03-09T14:35:00,2016-03-09T15:05:00,250,38.74,195.0,156.26,86,DETECTED,WATCH,PAV_HUB_6: cloud_ramp_down | loss 38.7 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,PAV_HUB_6
EVH_00007_SOL_PAVAGADA,EVH_00007,plant,SOL_PAVAGADA,Pavagada Solar Park,GRID_PAVAGADA_220KV,SOL_PAVAGADA,PAV_HUB_6,,cloud_ramp_down,weather,WATCH,2016-03-09T14:55:00,2016-03-09T16:35:00,2016-03-09T14:35:00,2016-03-09T15:05:00,2050,45.02,1517.0,1471.98,86,DETECTED,WATCH,SOL_PAVAGADA: cloud_ramp_down | loss 45.0 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,SOL_PAVAGADA
EVH_00007_GRID_PAVAGADA_220KV,EVH_00007,grid,GRID_PAVAGADA_220KV,Pavagada 220kV Pooling Station,,SOL_PAVAGADA,PAV_HUB_6,,cloud_ramp_down,weather,WATCH,2016-03-09T14:55:00,2016-03-09T16:35:00,2016-03-09T14:35:00,2016-03-09T15:05:00,2050,44.12,1517.0,1472.88,86,DETECTED,WATCH,GRID_PAVAGADA_220KV: cloud_ramp_down | loss 44.1 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,GRID_PAVAGADA_220KV
EVH_00008_PAV_S6_B01,EVH_00008,block,PAV_S6_B01,Hub 6 Block 1,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B01,grid_curtailment_plateau,grid_constraint,ALERT,2016-05-14T12:45:00,2016-05-14T16:45:00,2016-05-14T12:30:00,2016-05-14T12:45:00,50,18.42,39.0,20.58,93,DETECTED,ALERT,PAV_S6_B01: grid_curtailment_plateau | loss 18.4 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_S6_B01
EVH_00008_PAV_S6_B02,EVH_00008,block,PAV_S6_B02,Hub 6 Block 2,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B02,grid_curtailment_plateau,grid_constraint,ALERT,2016-05-14T12:45:00,2016-05-14T16:45:00,2016-05-14T12:30:00,2016-05-14T12:45:00,50,16.58,39.0,22.42,93,DETECTED,ALERT,PAV_S6_B02: grid_curtailment_plateau | loss 16.6 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_S6_B02
EVH_00008_PAV_S6_B03,EVH_00008,block,PAV_S6_B03,Hub 6 Block 3,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B03,grid_curtailment_plateau,grid_constraint,ALERT,2016-05-14T12:45:00,2016-05-14T16:45:00,2016-05-14T12:30:00,2016-05-14T12:45:00,50,16.35,39.0,22.65,93,DETECTED,ALERT,PAV_S6_B03: grid_curtailment_plateau | loss 16.4 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_S6_B03
EVH_00008_PAV_S6_B04,EVH_00008,block,PAV_S6_B04,Hub 6 Block 4,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B04,grid_curtailment_plateau,grid_constraint,ALERT,2016-05-14T12:45:00,2016-05-14T16:45:00,2016-05-14T12:30:00,2016-05-14T12:45:00,50,17.9,39.0,21.1,93,DETECTED,ALERT,PAV_S6_B04: grid_curtailment_plateau | loss 17.9 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_S6_B04
EVH_00008_PAV_HUB_6,EVH_00008,hub,PAV_HUB_6,Hub / Segment 6,SOL_PAVAGADA,SOL_PAVAGADA,PAV_HUB_6,,grid_curtailment_plateau,grid_constraint,ALERT,2016-05-14T12:45:00,2016-05-14T16:45:00,2016-05-14T12:30:00,2016-05-14T12:45:00,250,73.59,195.0,121.41,93,DETECTED,ALERT,PAV_HUB_6: grid_curtailment_plateau | loss 73.6 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,PAV_HUB_6
EVH_00008_SOL_PAVAGADA,EVH_00008,plant,SOL_PAVAGADA,Pavagada Solar Park,GRID_PAVAGADA_220KV,SOL_PAVAGADA,PAV_HUB_6,,grid_curtailment_plateau,grid_constraint,ALERT,2016-05-14T12:45:00,2016-05-14T16:45:00,2016-05-14T12:30:00,2016-05-14T12:45:00,2050,99.06,1517.0,1417.94,93,DETECTED,ALERT,SOL_PAVAGADA: grid_curtailment_plateau | loss 99.1 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,SOL_PAVAGADA
EVH_00008_GRID_PAVAGADA_220KV,EVH_00008,grid,GRID_PAVAGADA_220KV,Pavagada 220kV Pooling Station,,SOL_PAVAGADA,PAV_HUB_6,,grid_curtailment_plateau,grid_constraint,ALERT,2016-05-14T12:45:00,2016-05-14T16:45:00,2016-05-14T12:30:00,2016-05-14T12:45:00,2050,97.08,1517.0,1419.92,93,DETECTED,ALERT,GRID_PAVAGADA_220KV: grid_curtailment_plateau | loss 97.1 MW | grid_constraint,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.,GRID_PAVAGADA_220KV
EVH_00009_PAV_S2_B01,EVH_00009,block,PAV_S2_B01,Hub 2 Block 1,PAV_HUB_2,SOL_PAVAGADA,PAV_HUB_2,PAV_S2_B01,scada_stale_signal,data_quality,ALERT,2016-08-18T15:00:00,2016-08-18T16:25:00,2016-08-18T14:55:00,2016-08-18T15:00:00,50,0.0,39.0,39.0,78,DETECTED,ALERT,PAV_S2_B01: scada_stale_signal | loss 0.0 MW | data_quality,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.,PAV_S2_B01
